Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId,geometry
414163,GREEN FOOD & LIQUOR INC.,1026 E 67th St,NA,Chicago,IL,60637,4727,COOK,Grocery Store,41.773251,-87.600243,NA,NA,16977,"c(-87.600243, 41.773251)"
327703,Fairplay Foods,2323 W 111th St,NA,Chicago,IL,60643,3923,COOK,Super Store,41.691738,-87.679504,NA,NA,17107,"c(-87.679504, 41.691738)"
405167,ROSA'S CARNICERIA,3324 W 55th St,NA,Chicago,IL,60632,3209,COOK,Grocery Store,41.793488,-87.707031,NA,NA,17219,"c(-87.707031, 41.793488)"
501689,Joe's Food & Liquor,3626 W Lawrence Ave,NA,Chicago,IL,60625,5684,COOK,Grocery Store,41.96841,-87.719284,NA,NA,17246,"c(-87.719284, 41.96841)"
330918,Granado's Supermercado,1855 W 47th St,NA,Chicago,IL,60609,3844,COOK,Grocery Store,41.808384,-87.671913,NA,NA,17352,"c(-87.671913, 41.808384)"
500393,FRY'S 27,3616 E Ray Rd,NA,Phoenix,AZ,85044,7114,MARICOPA,Super Store,33.315517,-112.00566,NA,NA,17413,"c(-112.00566, 33.315517)"
504306,ZAVALAS GROCERY,2657 S Kolin Ave,NA,Chicago,IL,60623,4353,COOK,Grocery Store,41.84243,-87.732986,NA,NA,17467,"c(-87.732986, 41.84243)"
502809,CARNICERIA EL PORVENIR,150 E Kensington Ave,NA,Chicago,IL,60628,5639,COOK,Grocery Store,41.68417,-87.618675,NA,NA,17505,"c(-87.618675, 41.68417)"
328662,FRY'S 129,4724 N 20th St,NA,Phoenix,AZ,85016,4704,MARICOPA,Super Store,33.505974,-112.03893,NA,NA,17808,"c(-112.03893, 33.505974)"
329623,Indian Village Market,8415 E Jefferson Ave,NA,Detroit,MI,48214,2721,WAYNE,Supermarket,42.354481,-82.991249,NA,NA,17990,"c(-82.991249, 42.354481)"
476331,Jewel Food Store 3442,4042 W Foster Ave,NA,Chicago,IL,60630,2747,COOK,Supermarket,41.975582,-87.729843,NA,NA,18037,"c(-87.729843, 41.975582)"
504977,Fry's 698,1311 E Bell Rd,NA,Phoenix,AZ,85022,2724,MARICOPA,Super Store,33.640251,-112.05468,NA,NA,18143,"c(-112.05468, 33.640251)"
505582,Fruteria San Jose,1748 W Chicago Ave,NA,Chicago,IL,60622,5012,COOK,Grocery Store,41.896198,-87.671677,NA,NA,18197,"c(-87.671677, 41.896198)"
477403,Leamington Foods Store,5467 W Madison St,NA,Chicago,IL,60644,4030,COOK,Supermarket,41.879978,-87.763824,NA,NA,18343,"c(-87.763824, 41.879978)"
517194,Cermak Produce #5,3435 S Archer Ave,NA,Chicago,IL,60608,6836,COOK,Super Store,41.830929,-87.676186,NA,Experimental Station Chicago,18355,"c(-87.676186, 41.830929)"
519431,LOS DOS RIOS,2939 W 63rd St,NA,Chicago,IL,60629,2753,COOK,Grocery Store,41.779015,-87.69722,NA,NA,18398,"c(-87.69722, 41.779015)"
517944,EDGEWATER PRODUCE,5509 N Clark St,NA,Chicago,IL,60640,1213,COOK,Supermarket,41.982117,-87.668465,NA,NA,18838,"c(-87.668465, 41.982117)"
475912,Rigo's Grocery,2858 S Lawndale Ave,NA,Chicago,IL,60623,4556,COOK,Grocery Store,41.83897,-87.717117,NA,NA,18897,"c(-87.717117, 41.83897)"
516290,ALDI 67070 67070,15415 Gratiot Ave,NA,Detroit,MI,48205,1374,WAYNE,Supermarket,42.449146,-82.968498,NA,NA,18940,"c(-82.968498, 42.449146)"
516294,Trader Joe's 90,4821 N 20th St,NA,Phoenix,AZ,85016,4707,MARICOPA,Supermarket,33.507065,-112.0388,NA,NA,18941,"c(-112.0388, 33.507065)"
541446,US Quality Food Supermarket,15690 Joy Rd,NA,Detroit,MI,48228,2118,WAYNE,Supermarket,42.359173,-83.19928,NA,NA,19006,"c(-83.19928, 42.359173)"
